,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
7262,91596,Park Seong-Hyeon,F,21.0,170.0,72.0,South Korea,KOR,2004 Summer,2004,Summer,Athina,Archery,Archery Women's Team,1
7263,91596,Park Seong-Hyeon,F,25.0,170.0,72.0,South Korea,KOR,2008 Summer,2008,Summer,Beijing,Archery,Archery Women's Individual,1
7264,91596,Park Seong-Hyeon,F,25.0,170.0,72.0,South Korea,KOR,2008 Summer,2008,Summer,Beijing,Archery,Archery Women's Team,1
7265,91605,Park Seung-Hui,F,17.0,168.0,58.0,South Korea,KOR,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",1
7266,91605,Park Seung-Hui,F,17.0,168.0,58.0,South Korea,KOR,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Women's 1,500 metres",1
7267,91605,Park Seung-Hui,F,21.0,168.0,58.0,South Korea,KOR,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,1
7268,91605,Park Seung-Hui,F,21.0,168.0,58.0,South Korea,KOR,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",1
7269,91605,Park Seung-Hui,F,21.0,168.0,58.0,South Korea,KOR,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",1
7270,91618,Park Sun-Ja,F,22.0,163.0,54.0,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,1
7271,91647,Bridget Parker,F,33.0,162.0,52.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",1
7272,91649,Candace Nicole Parker (-Williams),F,22.0,193.0,80.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,1
7273,91649,Candace Nicole Parker (-Williams),F,26.0,193.0,80.0,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,1
7274,91651,"Denise Parker (Knudson-, -Smith)",F,14.0,165.0,59.0,United States,USA,1988 Summer,1988,Summer,Seoul,Archery,Archery Women's Team,1
7275,91671,Kelly Parker,F,31.0,156.0,53.0,Canada,CAN,2012 Summer,2012,Summer,London,Football,Football Women's Football,1
7276,91688,Irina Vladimirovna Parkhomchuk (-Kirillova),F,23.0,178.0,73.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Women's Volleyball,1
7277,91696,Sheila Hilary Parkin-Sherwood,F,22.0,168.0,61.0,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's Long Jump,1
7278,91704,Tessa Parkinson,F,21.0,177.0,66.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Women's Two Person Dinghy,1
7279,91717,"Cynthia Marie ""Cindy"" Parlow",F,18.0,177.0,66.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,1
7280,91717,"Cynthia Marie ""Cindy"" Parlow",F,22.0,177.0,66.0,United States,USA,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,1
7281,91717,"Cynthia Marie ""Cindy"" Parlow",F,26.0,177.0,66.0,United States,USA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,1
7282,91785,Shannon Parry,F,26.0,170.0,70.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,1
7283,91795,Lea Ann Parsley,F,33.0,175.0,66.0,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Skeleton,Skeleton Women's Skeleton,1
7284,91797,Anja Sofia Tess Prson,F,20.0,170.0,81.0,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Giant Slalom,1
7285,91797,Anja Sofia Tess Prson,F,20.0,170.0,81.0,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Slalom,1
7286,91797,Anja Sofia Tess Prson,F,24.0,170.0,81.0,Sweden,SWE,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Women's Downhill,1
7287,91797,Anja Sofia Tess Prson,F,24.0,170.0,81.0,Sweden,SWE,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Women's Slalom,1
7288,91797,Anja Sofia Tess Prson,F,24.0,170.0,81.0,Sweden,SWE,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Women's Combined,1
7289,91797,Anja Sofia Tess Prson,F,28.0,170.0,81.0,Sweden,SWE,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Combined,1
7290,91811,Sarah Sturgis Parsons,F,18.0,173.0,64.0,United States,USA,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,1
7291,91835,"Mabel Bramwell Parton (Squire-, -Mavrogordato)",F,30.0,170.47480435197556,63.219377897990725,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Tennis,"Tennis Women's Singles, Covered Courts",1
7292,91838,Kathleen Anne Partridge,F,24.0,170.0,72.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,1
7293,91845,Gabriella Paruzzi,F,22.0,173.0,62.0,Italy,ITA,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,1
7294,91845,Gabriella Paruzzi,F,24.0,173.0,62.0,Italy,ITA,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,1
7295,91845,Gabriella Paruzzi,F,28.0,173.0,62.0,Italy,ITA,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,1
7296,91845,Gabriella Paruzzi,F,32.0,173.0,62.0,Italy,ITA,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,1
7297,91845,Gabriella Paruzzi,F,36.0,173.0,62.0,Italy,ITA,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,1
7298,91852,"Katri Vellamo ""Kaisa"" Parviainen",F,33.0,164.0,54.0,Finland,FIN,1948 Summer,1948,Summer,London,Athletics,Athletics Women's Javelin Throw,1
7299,91861,Mirela Ana Paca,F,17.0,170.47480435197556,63.219377897990725,Romania,ROU,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Team All-Around,1
7300,91878,Mara Lucila Pascua Surez,F,33.0,196.0,93.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,1
7301,91880,Carolina Pascual Garca,F,16.0,170.47480435197556,63.219377897990725,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,1
7302,91887,Mariya Valeryevna Paseka,F,17.0,161.0,48.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,1
7303,91887,Mariya Valeryevna Paseka,F,17.0,161.0,48.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Horse Vault,1
7304,91887,Mariya Valeryevna Paseka,F,21.0,161.0,48.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,1
7305,91887,Mariya Valeryevna Paseka,F,21.0,161.0,48.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Horse Vault,1
7306,91902,Anne Pashley (-Irons),F,21.0,162.0,50.0,Great Britain,GBR,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's 4 x 100 metres Relay,1
